egg,1.1,11,0.2,0,155
avocado,9,2,15,0,160
spinach,3.6,2.9,0.4,0,23
peanut,16,26,49,0,567
cheese,0.5,25,33,0,402
brocoli,7,2.8,0.4,0,34
chicken,0,27,10,0,239
mayonnaise,0.6,1,75,0,680
salmon,0,20,3.8,0,208
tuna,0,30,6,0,184
tomato,39,0.9,0.2,0,18
onion,9,1.1,0.1,0,40
lemon,9,1.1,0,0,29
chorizo,1.9,24,38,0,455
pickle,2.3,0.3,0.2,0,11
meat,0,26,3.5,0,143
pork,0,27,14,0,242
lettuce,2.9,1.4,0.2,0,15
mushroom,3.3,3.1,0.3,0,22
